11.854 8.860 A 
7.192 29.690 B 
11.715 51.660 B 
10.795 68.760 B 
11.081 66.900 B 
10.446 54.200 B 
7.163 54.540 A 
13.156 66.160 A 
13.828 50.890 A 
12.310 74.890 A 
11.949 21.080 B 
8.770 47.510 B 
11.738 40.870 B 
12.415 18.230 A 
12.496 38.210 B 
11.770 16.830 B 
11.562 33.570 B 
11.125 45.900 B 
7.762 2.870 A 
13.416 -3.650 A 
11.084 12.480 B 
8.629 48.720 B 
12.469 45.740 B 
7.365 41.460 B 
12.209 59.440 B 
6.610 78.700 A 
13.398 -1.630 A 
8.085 23.670 B 
11.731 0.180 A 
12.641 40.360 B 
8.357 41.280 B 
14.116 63.030 A 
6.134 28.860 A 
14.903 24.750 A 
5.572 76.400 A 
7.748 55.240 B 
11.628 18.100 B 
5.183 13.130 A 
11.002 74.020 A 
7.109 2.640 A 
12.035 39.450 B 
10.761 28.080 B 
8.835 -2.490 A 
11.159 34.760 B 
10.003 0.410 A 
6.223 0.350 A 
11.586 19.100 B 
6.585 76.510 A 
6.019 -1.640 A 
11.395 16.680 B 
5.887 -6.440 A 
8.058 81.960 A 
8.646 27.030 B 
7.487 30.480 B 
8.282 38.680 B 
12.207 43.220 B 
9.702 60.790 B 
10.838 83.930 A 
13.588 37.100 A 
10.389 13.010 B 
8.094 36.760 B 
9.358 52.350 B 
7.112 20.630 A 
9.962 16.540 B 
14.229 63.490 A 
5.589 -9.510 A 
11.397 29.060 B 
7.355 50.220 B 
6.981 55.290 A 
8.298 85.020 A 
8.810 71.890 A 
9.789 26.020 B 
8.121 27.950 B 
9.421 -6.910 A 
8.435 -8.810 A 
10.419 63.620 B 
7.980 36.450 B 
9.889 5.190 A 
12.958 79.920 A 
5.469 7.110 A 
11.396 78.260 A 
12.741 -6.870 A 
11.985 8.880 A 
10.883 15.420 B 
13.531 73.130 A 
7.242 21.860 A 
8.406 13.390 A 
6.991 5.870 A 
7.243 43.480 B 
11.553 42.030 B 
13.936 72.320 A 
9.762 27.580 B 
9.255 11.100 B 
12.279 -9.840 A 
10.259 15.640 B 
11.322 31.200 B 
7.418 53.360 B 
10.730 63.910 B 
10.856 -7.140 A 
9.426 -8.700 A 
11.513 57.270 B 
5.530 67.860 A 
7.559 13.630 A 
13.976 11.140 A 
