0 362.0
1 368.9
2 387.8299999999999
3 373.78099999999995
4 376.2466999999999
5 386.0726899999999
6 419.6508829999999
7 409.8556180999999
8 428.7989326699999
9 454.0592528689999
10 492.4414770082999
11 486.9090339058099
12 504.0363237340669
13 527.4254266138469
14 573.4977986296927
15 568.5484590407849
16 586.3839213285494
17 622.5687449299845
18 667.6981214509891
19 644.9886850156923
20 639.5920795109846
21 665.2144556576892
22 721.8501189603824
23 703.5950832722676
24 690.8165582905873
25 681.8715908034111
26 675.6101135623877
27 671.2270794936713
28 668.1589556455699
29 666.0112689518988
30 664.5078882663291
31 663.4555217864304
32 662.7188652505013
33 662.2032056753509
